Year,Month,Temp
1855,4,14.85
1855,5,20.708
1855,6,24.437
1855,7,28.748
1855,8,27.543
1855,9,23.493
1855,10,17.502
1855,11,11.465
1855,12,6.854
1856,1,0.635
1856,2,2.825
1856,3,8.785
1856,4,14.537
1856,5,19.826
1856,6,24.048
1856,7,28.603
1856,8,28.233
1856,9,24.011
1856,10,17.037
1856,11,11.9
1856,12,6.103
1857,1,2.818
1857,2,5.654
1857,3,9.433
1857,4,15.37
1857,5,18.921
1857,6,24.765
1857,7,28.588
1857,8,27.43
1857,9,22.621
1857,10,17.743
1857,11,11.003
1857,12,6.779
1858,1,3.668
1858,2,4.885
1858,3,8.742
1858,4,14.573
1858,5,18.885
1858,6,24.138
1858,7,27.806
1858,8,26.062
1858,9,23.369
1858,10,17.021
1858,11,10.964
1858,12,5.791
1859,1,2.916
1859,2,4.089
1859,3,8.309
1859,4,16.178
1859,5,20.316
1859,6,25.198
1859,7,27.444
1859,8,27.839
1859,9,23.135
1859,10,17.451
1859,11,10.597
1859,12,4.21
1860,1,2.469
1860,2,5.209
1860,3,7.028
1860,4,14.231
1860,5,17.993
1860,6,24.009
1860,7,26.972
1860,8,27.564
1860,9,23.322
1860,10,16.247
1860,11,9.508
1860,12,6.02
1861,1,1.306
1861,2,2.705
1861,3,8.301
1861,4,14.915
1861,5,19.134
1861,6,24.19
1861,7,28.951
1861,8,28.379
1861,9,21.97
1861,10,17.182
1861,11,11.341
1861,12,5.102
1862,1,-0.05
1862,2,1.783
1862,3,6.913
1862,4,13.623
1862,5,19.842
1862,6,24.537
1862,7,28.167
1862,8,26.34
1862,9,23.012
1862,10,16.592
1862,11,9.245
1862,12,3.606
1863,1,3.722
1863,2,6.114
1863,3,8.824
1863,4,12.218
1863,5,18.168
1863,6,24.125
1863,7,29.72
1863,8,27.122
1863,9,22.477
1863,10,15.76
1863,11,9.177
1863,12,4.943
1864,1,0.865
1864,2,2.876
1864,3,6.359
1864,4,13.762
1864,5,18.6
1864,6,23.647
1864,7,28.326
1864,8,27.021
1864,9,22.627
1864,10,18.242
1864,11,11.308
1864,12,4.507
1865,1,4.107
1865,2,4.573
1865,3,8.337
1865,4,14.668
1865,5,19.699
1865,6,24.587
1865,7,28.002
1865,8,28.032
1865,9,23.821
1865,10,17.431
1865,11,10.777
1865,12,4.583
1866,1,3.341
1866,2,4.665
1866,3,8.492
1866,4,12.445
1866,5,19.768
1866,6,23.276
1866,7,28.236
1866,8,29.019
1866,9,22.614
1866,10,17.364
1866,11,10.786
1866,12,6.456
1867,1,2.71
1867,2,4.688
1867,3,10.121
1867,4,14.802
1867,5,19.54
1867,6,24.734
1867,7,28.335
1867,8,27.435
1867,9,22.662
1867,10,18.407
1867,11,10.846
1867,12,7.087
1868,1,3.654
1868,2,4.816
1868,3,8.416
1868,4,14.569
1868,5,19.023
1868,6,23.886
1868,7,28.396
1868,8,27.528
1868,9,23.417
1868,10,18.371
1868,11,11.875
1868,12,6.337
1869,1,3.796
1869,2,5.717
1869,3,8.652
1869,4,13.584
1869,5,20.326
1869,6,24.592
1869,7,28.446
1869,8,28.196
1869,9,24.158
1869,10,18.492
1869,11,11.216
1869,12,5.869
1870,1,2.951
1870,2,4.064
1870,3,9.589
1870,4,14.728
1870,5,20.099
1870,6,25.073
1870,7,28.367
1870,8,27.744
1870,9,23.907
1870,10,18.291
1870,11,11.211
1870,12,5.405
1871,1,3.227
1871,2,4.505
1871,3,9.848
1871,4,14.886
1871,5,20.65
1871,6,25.535
1871,7,29.336
1871,8,28.782
1871,9,24.941
1871,10,19.181
1871,11,11.391
1871,12,3.465
1872,1,2.642
1872,2,2.931
